stem,glyph_name,group,group_title,arabic,translit,unicode,unicode_name,pua,shortcode,short,codepoint_to_type,copy_paste_safe
alh-azza-wa-jalla,alhAzzaWaJalla,alh,Allah,عزَّ وجلَّ,‘azza wa jalla,FDFF,ARABIC LIGATURE AZZA WA JALL,E900,\alh-azza-wa-jalla,\azza,FDFF,yes
alh-jalla-jalaluh,alhJallaJalaluh,alh,Allah,جلَّ جلاله,jalla jalāluh,FDFB,ARABIC LIGATURE JALLAJALALOUHOU,E901,\alh-jalla-jalaluh,\jj,FDFB,yes
alh-jalla-wa-ala,alhJallaWaAla,alh,Allah,جلَّ وعلا,jalla wa ‘ala,,,E902,\alh-jalla-wa-ala,\jwa,E902,no
alh-subhanahu-wa-taala,alhSubhanahuWaTaala,alh,Allah,سبحانه وتعالى,subḥanahu wa ta‘ālā,FDFE,ARABIC LIGATURE SUBHAANAHU WA TAAALAA,E903,\alh-subhanahu-wa-taala,\swt,FDFE,yes
alh-tabaraka-wa-taala,alhTabarakaWaTaala,alh,Allah,تبارك وتعالى,tabāraka wa ta‘ālā,FD4E,ARABIC LIGATURE TABAARAKA WA-TAAALAA,E904,\alh-tabaraka-wa-taala,\twt,FD4E,yes
alh-taala,alhTaala,alh,Allah,تعالى,ta‘ālā,,,E905,\alh-taala,\taala,E905,no
sal-sallallahu-alayhi-wa-ala-alih,salSallallahuAlayhiWaAlaAlih,sal,Sallallahu,صلى الله عليه وعلى آله,ṣallallāhu ‘alayhi wa ‘alā ālih,FD46,ARABIC LIGATURE SALLALLAAHU ALAYHI WA-AALIH,E906,\sal-sallallahu-alayhi-wa-ala-alih,\sawa,FD46,yes
sal-sallallahu-alayhi-wa-ala-alihi-wa-sallam,salSallallahuAlayhiWaAlaAlihiWaSallam,sal,Sallallahu,صلى الله عليه وعلى آله وسلم,ṣallallāhu ‘alayhi wa ‘alā ālihi wa sallam,FD4C,ARABIC LIGATURE SALLALLAHU ALAYHI WAAALIHEE WA-SALLAM,E907,\sal-sallallahu-alayhi-wa-ala-alihi-wa-sallam,\sawas,FD4C,yes
sal-sallallahu-alayhi-wa-sallam-rounded,salSallallahuAlayhiWaSallamRounded,sal,Sallallahu,صلى الله عليه وسلم,ṣallallāhu ‘alayhi wa sallam (rounded),FDFA,ARABIC LIGATURE SALLALLAHOU ALAYHE WASALLAM,E908,\sal-sallallahu-alayhi-wa-sallam-rounded,\saw,FDFA,yes
sal-sallallahu-alayhi-wa-sallam-square,salSallallahuAlayhiWaSallamSquare,sal,Sallallahu,صلى الله عليه وسلم,ṣallallāhu ‘alayhi wa sallam (square),,,E909,\sal-sallallahu-alayhi-wa-sallam-square,\saw2,E909,no
slt-alayhi-assalatu-was-salam,sltAlayhiAssalatuWasSalam,slt,As-Salatu was-Salam,عليه الصلاة والسلام,‘alayhiṣ ṣalātu was salām,FD4A,ARABIC LIGATURE ALAYHI AS-SALAATU WAS-SALAAM,E90A,\slt-alayhi-assalatu-was-salam,\sls,FD4A,yes
